t,rhythmicity
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.004037478639665736
49.0,0.008994481704533963
50.0,0.018436086435515107
51.0,0.018384061246626917
52.0,0.018384061246626917
53.0,0.018384061246626917
54.0,0.018384061246626917
55.0,0.015212161950489024
56.0,0.0038122671034845007
57.0,0.0037036871519174346
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.00420250649446619
77.0,0.030760063247025887
78.0,0.42274699271672267
79.0,0.5078517987955352
80.0,0.6440992757442312
81.0,0.8383252067786077
82.0,0.8841288063612056
83.0,0.8841288063612056
84.0,0.8841288063612056
85.0,0.9280413316658996
86.0,0.9280413316658996
87.0,0.8708518041025703
88.0,0.9280413316658996
89.0,0.9280413316658996
90.0,0.8979237125810156
91.0,0.8979237125810156
92.0,0.931089134751465
93.0,0.8979237125810156
94.0,0.8979237125810156
95.0,0.9421312849170577
96.0,0.9458225032039123
97.0,1.0
98.0,1.0
99.0,0.9458225032039123
100.0,0.9418113946722501
101.0,0.8233153330993475
102.0,0.7124454067558228
103.0,0.5643380487787671
104.0,0.29385552836019263
105.0,0.29385552836019263
106.0,0.29385552836019263
107.0,0.3292062557268448
108.0,0.3292062557268448
109.0,0.3292062557268448
110.0,0.27617201563834104
111.0,0.21956146633145288
112.0,0.21956146633145288
113.0,0.21956146633145288
114.0,0.20239802178680466
115.0,0.22869299439676835
116.0,0.23427196450935509
117.0,0.23427196450935509
118.0,0.2394219438385025
119.0,0.2698764784917359
120.0,0.2718576363311187
121.0,0.2718576363311187
122.0,0.2718576363311187
123.0,0.25727150866759585
124.0,0.25727150866759585
125.0,0.25727150866759585
126.0,0.3750421168915567
127.0,0.38285275620239617
128.0,0.4881383012586989
129.0,0.5623974373730349
130.0,0.5822808417111245
131.0,0.5822808417111245
132.0,0.5822808417111245
133.0,0.5822808417111245
134.0,0.5378506294879557
135.0,0.5261031011005369
136.0,0.4728063640749376
137.0,0.39914977001415464
138.0,0.39914977001415464
139.0,0.39914977001415464
140.0,0.7795867110835021
141.0,0.7795867110835021
142.0,0.7978312404187541
143.0,0.7892710795453562
144.0,0.7978312404187541
145.0,0.7978312404187541
146.0,0.7978312404187541
147.0,0.7892710795453562
148.0,0.6141295474238179
149.0,0.1503890814526455
150.0,0.11998070142990346
151.0,0.07216379299310717
152.0,0.05032878630909698
153.0,0.030386260522267936
154.0,0.028913184100109433
155.0,0.019464267255084117
156.0,0.01842778245367381
157.0,0.012944140116046929
158.0,0.006859684226683848
159.0,0.005975559966747925
160.0,0.0
161.0,0.0
162.0,0.0
163.0,0.0
164.0,0.015623949198772786
165.0,0.11786120807631181
166.0,0.11786120807631181
167.0,0.1413536087730089
168.0,0.1413536087730089
169.0,0.11268688593950382
170.0,0.028641877400898515
171.0,0.010582480026381944
172.0,0.010582480026381944
173.0,0.010582480026381944
174.0,0.06614297028116112
175.0,0.21711866247092454
176.0,0.21711866247092454
177.0,0.21711866247092454
178.0,0.2120592873880823
179.0,0.21109642835237363
180.0,0.1696863225735633
181.0,0.00952225131582264
182.0,0.00952225131582264
183.0,0.00952225131582264
184.0,0.032894430208927565
185.0,0.09210734021299027
186.0,0.37013343574263935
187.0,0.4569192488380849
188.0,0.7197111496924379
189.0,0.7197111496924379
190.0,0.7197111496924379
191.0,0.4308258652745714
192.0,0.42687742386483873
193.0,0.29586407273967796
194.0,0.29586407273967796
195.0,0.29586407273967796
196.0,0.3362346465695129
197.0,0.3389634084591213
198.0,0.39543093091740095
199.0,0.4287784500793077
200.0,0.4287784500793077
201.0,0.4619499883167774
202.0,0.4619499883167774
203.0,0.4643686812729889
204.0,0.47751174720654305
205.0,0.4799450705284943
206.0,0.591833434283104
207.0,0.5923668068253753
208.0,0.6012959310997538
209.0,0.6684239322223795
210.0,0.9124571036360715
211.0,0.9180209279659004
212.0,0.9180209279659004
213.0,0.9425429661683095
214.0,0.9425429661683095
215.0,0.9425429661683095
216.0,0.9315356682261512
217.0,0.9088800342565738
218.0,0.9008822944268828
219.0,0.8000912657354324
220.0,0.7795444443566655
221.0,0.7795444443566655
222.0,0.7482640259443811
223.0,0.7848632645562725
224.0,0.7482640259443811
225.0,0.7482640259443811
226.0,0.7072387782768003
227.0,0.6977238641715516
228.0,0.6799044182159473
229.0,0.6250246397251455
230.0,0.6250246397251455
231.0,0.6125856048704733
232.0,0.5185818399643629
233.0,0.5929784356252218
234.0,0.6125856048704733
235.0,0.6125856048704733
236.0,0.7578491541879767
237.0,0.7578491541879767
238.0,0.7578491541879767
239.0,0.7129567378510001
240.0,0.6601564636481014
241.0,0.6601564636481014
242.0,0.6810188776833831
243.0,0.7129567378510001
244.0,0.7103782673412732
245.0,0.7354024814354212
246.0,0.7445813581653079
247.0,0.7445813581653079
248.0,0.7445813581653079
249.0,0.7445813581653079
250.0,0.7378455975844145
251.0,0.7141793652637958
252.0,0.7141793652637958
253.0,0.6909268461062865
254.0,0.6909268461062865
255.0,0.1018711942945481
256.0,0.1018711942945481
257.0,0.09865645053376741
258.0,0.09865645053376741
259.0,0.08184285325161773
260.0,0.06352002393388326
261.0,0.03613847183872748
262.0,0.026851134585484094
263.0,0.018557240059216593
264.0,0.005531680648604256
265.0,0.0005288138905257746
266.0,1.4866102549733455e-05
267.0,0.0
268.0,0.0
